2022/4/8,快晴,21.7,9.7,稚内
2022/4/9,快晴,23.8,10.1,稚内
2022/4/10,快晴,26.8,13.0,稚内
2022/4/11,薄曇,24.7,13.8,稚内
2022/4/12,快晴,25.6,15.4,稚内
2022/4/13,薄曇,26.4,15.2,稚内
2022/4/14,雨,20.2,10.0,稚内
2022/4/15,雨,12.1,8.3,稚内
2022/4/16,曇時々晴一時雨,20.2,8.0,稚内
2022/4/17,曇,17.8,9.9,稚内
2022/4/18,曇時々雨,18.2,11.7,稚内
2022/4/19,曇時々晴,20.9,10.6,稚内
2022/4/20,曇時々雨,14.0,9.5,稚内
2022/4/21,薄曇,21.5,12.2,稚内
2022/4/22,晴時々曇,26.2,13.5,稚内
2022/4/23,曇時々晴,26.7,16.5,稚内
2022/4/24,曇後雨,20.3,14.1,稚内
2022/4/25,晴,26.6,13.0,稚内
2022/4/26,曇一時雨,23.6,17.9,稚内
2022/4/27,曇一時雨,27.7,18.9,稚内
2022/4/28,曇後晴,21.1,14.2,稚内
2022/4/29,雨一時曇,16.4,9.0,稚内
2022/4/30,晴,18.4,7.4,稚内
2022/5/1,曇後雨,16.8,10.8,稚内
2022/5/2,曇一時晴,19.4,9.5,稚内
2022/5/3,快晴,20.4,9.3,稚内
2022/5/4,快晴,25.0,10.8,稚内
2022/5/5,薄曇時々晴,26.3,13.6,稚内
2022/5/6,薄曇,24.5,15.2,稚内
2022/5/7,曇時々雨後一時晴,22.8,15.4,稚内
2022/5/8,曇時々晴,22.5,16.2,稚内
2022/5/9,霧,22.5,16.2,稚内
2022/5/10,霧雨,22.5,16.2,稚内
2022/5/11,雷,22.5,16.2,稚内
2022/5/12,大雨,22.5,16.2,稚内
2022/5/13,暴風雨,22.5,16.2,稚内
2022/5/14,みぞれ,22.5,16.2,稚内
2022/5/15,雪,22.5,16.2,稚内
2022/5/16,大雪,22.5,16.2,稚内
2022/5/17,暴風雪,22.5,16.2,稚内
2022/5/18,地ふぶき,22.5,16.2,稚内
2022/5/19,ふぶき,22.5,16.2,稚内
2022/5/20,ひょう,22.5,16.2,稚内
2022/5/21,あられ,22.5,16.2,稚内
2022/5/22,×,22.5,16.2,稚内
2022/5/23,大風,22.5,16.2,稚内